scaff start end length NumWin
scaffold419_122940 94158 100099 5941 2
scaffold419_122940 105597 105944 347 2
scaffold445_116465 78717 78965 248 2
scaffold4538_20968 5379 16556 11177 9
scaffold46_4242896 3235290 3235671 381 3
scaffold46_4242896 3437178 3438424 1246 7
scaffold47_4158293 223182 223950 768 3
scaffold47_4158293 292575 293143 568 2
scaffold47_4158293 4011849 4012363 514 3
scaffold47414_2721 1648 2331 683 3
scaffold48_4099315 2565699 2566725 1026 5
scaffold49_4090992 2400468 2400978 510 5
scaffold49_4090992 2421086 2421379 293 2
scaffold49_4090992 2434994 2443420 8426 2
scaffold49_4090992 2452659 2457685 5026 16
scaffold5_19632047 4188916 4189620 704 3
scaffold5_19632047 6262490 6263647 1157 5
scaffold5_19632047 10668265 10668783 518 3
scaffold5_19632047 18307035 18307438 403 2
scaffold51_3900769 2182259 2198487 16228 10
scaffold51207_2506 730 2435 1705 2
scaffold52_3862006 3647790 3650153 2363 2
scaffold528_103745 67993 70672 2679 4
scaffold53861_2369 0 312 312 2
scaffold54_3822261 1065128 1066438 1310 3
scaffold54_3822261 1066965 1067736 771 5
scaffold57_3336272 1319693 1323110 3417 4
scaffold57_3336272 1367597 1367997 400 3
scaffold57_3336272 1398992 1399501 509 2
scaffold577_97561 72824 78786 5962 4
scaffold5925_17023 1225 8643 7418 5
scaffold6_19132642 7321486 7322264 778 4
scaffold6_19132642 7771278 7772448 1170 4
scaffold6_19132642 11122721 11129441 6720 3
scaffold6_19132642 13164349 13164573 224 2
scaffold6_19132642 15274503 15275108 605 6
scaffold6_19132642 16201760 16203050 1290 4
scaffold6_19132642 18489193 18496583 7390 10
scaffold6_19132642 18498415 18498754 339 2
scaffold6_19132642 18940254 18945241 4987 2
scaffold6_19132642 18947815 18949463 1648 4
scaffold6_19132642 18954616 18962930 8314 3
scaffold6_19132642 18971922 18973682 1760 2
scaffold6_19132642 18990029 18994783 4754 6
scaffold6_19132642 19010303 19016673 6370 3
scaffold6_19132642 19031245 19032804 1559 5
scaffold60_3140063 1428676 1428980 304 2
scaffold60_3140063 3108614 3108832 218 2
scaffold601_94693 91930 92820 890 6
scaffold609_93951 74119 90775 16656 18
scaffold62_2896931 2521179 2532815 11636 6
scaffold62_2896931 2585891 2587489 1598 14
scaffold622_91385 6195 6634 439 2
scaffold622_91385 39717 48642 8925 4
scaffold622_91385 63623 63929 306 3
scaffold63770_1964 1098 1324 226 2
scaffold6633_15502 3402 4156 754 3
scaffold6692_15378 3910 4727 817 2
scaffold67_2653777 317587 317788 201 2
scaffold67_2653777 1455043 1455871 828 2
scaffold6721_15328 8537 10496 1959 2
scaffold68_2605431 2017091 2018849 1758 13
scaffold68_2605431 2019550 2019860 310 3
scaffold68_2605431 2106454 2106664 210 2
scaffold6877_15084 10588 11107 519 5
scaffold69_2594531 1354613 1356298 1685 4
scaffold69_2594531 1377931 1378264 333 3
scaffold7_18583372 15644905 15645112 207 2
scaffold7_18583372 15685401 15685804 403 2
scaffold7_18583372 16370277 16380036 9759 4
scaffold7083_14711 357 7174 6817 16
scaffold75485_1641 204 1269 1065 2
scaffold7918_13513 9072 13381 4309 5
scaffold7934_13485 1326 12116 10790 2
scaffold8_16897533 68241 68455 214 2
scaffold8_16897533 287747 289301 1554 2
scaffold8_16897533 4936141 4936557 416 4
scaffold80_1929857 133400 133748 348 2
scaffold80_1929857 134387 134594 207 2
scaffold82_1836264 272586 274436 1850 3
scaffold836_72106 3111 3661 550 2
scaffold86_1740693 530764 530971 207 2
scaffold8847_12317 7607 8528 921 4
scaffold9_16683904 3182422 3182840 418 2
scaffold9_16683904 14113307 14114636 1329 6
scaffold9038_12080 0 10211 10211 8
scaffold9330_11779 7135 7866 731 2
scaffold94_1542895 906407 906942 535 2
scaffold9562_11540 828 4039 3211 5
scaffold959_65591 20267 21106 839 8
